AnomalyID,ProductID,ProductName,Category,DetectorType,AnomalyScore,AnomalyDate,FeatureName,FeatureValue,Severity,DetectedAt
845,19,Torque Sensor v09,Industrial Parts,zscore,4.6076,2022-08-07,QuantitySold,0.0,HIGH,2026-03-02 22:42:39
843,19,Torque Sensor v09,Industrial Parts,zscore,4.5606,2022-06-15,QuantitySold,0.0,HIGH,2026-03-02 22:42:39
851,19,Torque Sensor v09,Industrial Parts,zscore,4.5261,2023-12-21,QuantitySold,0.0,HIGH,2026-03-02 22:42:39
865,33,Copper Wire v03,Raw Materials,zscore,4.2426,2022-08-20,QuantitySold,0.0,HIGH,2026-03-02 22:42:39
863,33,Copper Wire v03,Raw Materials,zscore,4.1907,2022-05-27,QuantitySold,0.0,HIGH,2026-03-02 22:42:39
873,36,Resin Block v06,Raw Materials,zscore,4.1891,2022-10-30,QuantitySold,0.0,HIGH,2026-03-02 22:42:39
832,7,Wireless Sensor v07,Electronics,zscore,4.1747,2023-08-08,QuantitySold,0.0,HIGH,2026-03-02 22:42:39
875,36,Resin Block v06,Raw Materials,zscore,4.0309,2023-02-25,QuantitySold,0.0,HIGH,2026-03-02 22:42:39
870,33,Copper Wire v03,Raw Materials,zscore,3.9906,2023-06-08,QuantitySold,0.0,MEDIUM,2026-03-02 22:42:39
837,14,Conveyor Belt v04,Industrial Parts,zscore,3.9266,2022-09-30,QuantitySold,0.0,MEDIUM,2026-03-02 22:42:39
840,19,Torque Sensor v09,Industrial Parts,zscore,3.7652,2022-01-19,QuantitySold,0.0,MEDIUM,2026-03-02 22:42:39
847,19,Torque Sensor v09,Industrial Parts,zscore,3.5253,2023-02-11,QuantitySold,0.0,MEDIUM,2026-03-02 22:42:39
854,21,Stretch Wrap Film v01,Packaging,zscore,3.5164,2023-05-31,QuantitySold,0.0,MEDIUM,2026-03-02 22:42:39
849,19,Torque Sensor v09,Industrial Parts,zscore,3.5123,2023-06-15,QuantitySold,0.0,MEDIUM,2026-03-02 22:42:39
853,21,Stretch Wrap Film v01,Packaging,zscore,3.5046,2023-05-26,QuantitySold,0.0,MEDIUM,2026-03-02 22:42:39
855,21,Stretch Wrap Film v01,Packaging,zscore,3.4989,2023-09-21,QuantitySold,0.0,MEDIUM,2026-03-02 22:42:39
882,38,Zinc Ingot v08,Raw Materials,zscore,3.4675,2023-05-27,QuantitySold,0.0,MEDIUM,2026-03-02 22:42:39
