ForecastID,ProductID,ProductName,Category,ModelName,ForecastDate,ForecastQty,LowerBound,UpperBound,HorizonDays,GeneratedAt
160201,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-01,7.2,3.51,10.9,30,2026-03-02 22:42:38
160202,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-02,7.2,3.51,10.9,30,2026-03-02 22:42:38
160203,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-03,7.2,3.51,10.9,30,2026-03-02 22:42:38
160204,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-04,7.2,3.51,10.9,30,2026-03-02 22:42:38
160205,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-05,7.2,3.51,10.9,30,2026-03-02 22:42:38
160206,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-06,7.2,3.51,10.9,30,2026-03-02 22:42:38
160207,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-07,7.2,3.51,10.9,30,2026-03-02 22:42:38
160208,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-08,7.36,3.45,11.27,30,2026-03-02 22:42:38
160209,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-09,7.36,3.45,11.27,30,2026-03-02 22:42:38
160210,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-10,7.36,3.45,11.27,30,2026-03-02 22:42:38
160211,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-11,7.36,3.45,11.27,30,2026-03-02 22:42:38
160212,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-12,7.36,3.45,11.27,30,2026-03-02 22:42:38
160213,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-13,7.36,3.45,11.27,30,2026-03-02 22:42:38
160214,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-14,7.36,3.45,11.27,30,2026-03-02 22:42:38
160215,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-15,7.37,3.31,11.44,30,2026-03-02 22:42:38
160216,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-16,7.37,3.31,11.44,30,2026-03-02 22:42:38
160217,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-17,7.37,3.31,11.44,30,2026-03-02 22:42:38
160218,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-18,7.37,3.31,11.44,30,2026-03-02 22:42:38
160219,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-19,7.37,3.31,11.44,30,2026-03-02 22:42:38
160220,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-20,7.37,3.31,11.44,30,2026-03-02 22:42:38
160221,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-21,7.37,3.31,11.44,30,2026-03-02 22:42:38
160222,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-22,7.37,3.17,11.58,30,2026-03-02 22:42:38
160223,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-23,7.37,3.17,11.58,30,2026-03-02 22:42:38
160224,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-24,7.37,3.17,11.58,30,2026-03-02 22:42:38
160225,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-25,7.37,3.17,11.58,30,2026-03-02 22:42:38
160226,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-26,7.37,3.17,11.58,30,2026-03-02 22:42:38
160227,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-27,7.37,3.17,11.58,30,2026-03-02 22:42:38
160228,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-28,7.37,3.17,11.58,30,2026-03-02 22:42:38
160229,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-01,7.2,3.51,10.9,60,2026-03-02 22:42:38
160230,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-02,7.2,3.51,10.9,60,2026-03-02 22:42:38
160231,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-03,7.2,3.51,10.9,60,2026-03-02 22:42:38
160232,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-04,7.2,3.51,10.9,60,2026-03-02 22:42:38
160233,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-05,7.2,3.51,10.9,60,2026-03-02 22:42:38
160234,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-06,7.2,3.51,10.9,60,2026-03-02 22:42:38
160235,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-07,7.2,3.51,10.9,60,2026-03-02 22:42:38
160236,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-08,7.36,3.45,11.27,60,2026-03-02 22:42:38
160237,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-09,7.36,3.45,11.27,60,2026-03-02 22:42:38
160238,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-10,7.36,3.45,11.27,60,2026-03-02 22:42:38
160239,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-11,7.36,3.45,11.27,60,2026-03-02 22:42:38
160240,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-12,7.36,3.45,11.27,60,2026-03-02 22:42:38
160241,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-13,7.36,3.45,11.27,60,2026-03-02 22:42:38
160242,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-14,7.36,3.45,11.27,60,2026-03-02 22:42:38
160243,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-15,7.37,3.31,11.44,60,2026-03-02 22:42:38
160244,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-16,7.37,3.31,11.44,60,2026-03-02 22:42:38
160245,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-17,7.37,3.31,11.44,60,2026-03-02 22:42:38
160246,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-18,7.37,3.31,11.44,60,2026-03-02 22:42:38
160247,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-19,7.37,3.31,11.44,60,2026-03-02 22:42:38
160248,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-20,7.37,3.31,11.44,60,2026-03-02 22:42:38
160249,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-21,7.37,3.31,11.44,60,2026-03-02 22:42:38
160250,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-22,7.37,3.17,11.58,60,2026-03-02 22:42:38
160251,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-23,7.37,3.17,11.58,60,2026-03-02 22:42:38
160252,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-24,7.37,3.17,11.58,60,2026-03-02 22:42:38
160253,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-25,7.37,3.17,11.58,60,2026-03-02 22:42:38
160254,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-26,7.37,3.17,11.58,60,2026-03-02 22:42:38
160255,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-27,7.37,3.17,11.58,60,2026-03-02 22:42:38
160256,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-28,7.37,3.17,11.58,60,2026-03-02 22:42:38
160257,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-29,7.37,3.03,11.72,60,2026-03-02 22:42:38
160258,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-30,7.37,3.03,11.72,60,2026-03-02 22:42:38
160259,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-31,7.37,3.03,11.72,60,2026-03-02 22:42:38
160260,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-01,7.37,3.03,11.72,60,2026-03-02 22:42:38
160261,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-02,7.37,3.03,11.72,60,2026-03-02 22:42:38
160262,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-03,7.37,3.03,11.72,60,2026-03-02 22:42:38
160263,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-04,7.37,3.03,11.72,60,2026-03-02 22:42:38
160264,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-05,7.37,2.9,11.85,60,2026-03-02 22:42:38
160265,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-06,7.37,2.9,11.85,60,2026-03-02 22:42:38
160266,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-07,7.37,2.9,11.85,60,2026-03-02 22:42:38
160267,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-08,7.37,2.9,11.85,60,2026-03-02 22:42:38
160268,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-09,7.37,2.9,11.85,60,2026-03-02 22:42:38
160269,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-10,7.37,2.9,11.85,60,2026-03-02 22:42:38
160270,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-11,7.37,2.9,11.85,60,2026-03-02 22:42:38
160271,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-12,7.37,2.77,11.98,60,2026-03-02 22:42:38
160272,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-13,7.37,2.77,11.98,60,2026-03-02 22:42:38
160273,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-14,7.37,2.77,11.98,60,2026-03-02 22:42:38
160274,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-15,7.37,2.77,11.98,60,2026-03-02 22:42:38
160275,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-16,7.37,2.77,11.98,60,2026-03-02 22:42:38
160276,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-17,7.37,2.77,11.98,60,2026-03-02 22:42:38
160277,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-18,7.37,2.77,11.98,60,2026-03-02 22:42:38
160278,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-19,7.37,2.64,12.1,60,2026-03-02 22:42:38
160279,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-20,7.37,2.64,12.1,60,2026-03-02 22:42:38
160280,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-21,7.37,2.64,12.1,60,2026-03-02 22:42:38
160281,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-22,7.37,2.64,12.1,60,2026-03-02 22:42:38
160282,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-23,7.37,2.64,12.1,60,2026-03-02 22:42:38
160283,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-24,7.37,2.64,12.1,60,2026-03-02 22:42:38
160284,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-25,7.37,2.64,12.1,60,2026-03-02 22:42:38
160285,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-26,7.37,2.52,12.23,60,2026-03-02 22:42:38
160286,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-27,7.37,2.52,12.23,60,2026-03-02 22:42:38
160287,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-28,7.37,2.52,12.23,60,2026-03-02 22:42:38
160288,1,Microcontroller Unit v01,Electronics,ARIMA,2024-02-29,7.37,2.52,12.23,60,2026-03-02 22:42:38
160289,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-01,7.2,3.51,10.9,90,2026-03-02 22:42:38
160290,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-02,7.2,3.51,10.9,90,2026-03-02 22:42:38
160291,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-03,7.2,3.51,10.9,90,2026-03-02 22:42:38
160292,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-04,7.2,3.51,10.9,90,2026-03-02 22:42:38
160293,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-05,7.2,3.51,10.9,90,2026-03-02 22:42:38
160294,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-06,7.2,3.51,10.9,90,2026-03-02 22:42:38
160295,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-07,7.2,3.51,10.9,90,2026-03-02 22:42:38
160296,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-08,7.36,3.45,11.27,90,2026-03-02 22:42:38
160297,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-09,7.36,3.45,11.27,90,2026-03-02 22:42:38
160298,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-10,7.36,3.45,11.27,90,2026-03-02 22:42:38
160299,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-11,7.36,3.45,11.27,90,2026-03-02 22:42:38
160300,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-12,7.36,3.45,11.27,90,2026-03-02 22:42:38
160301,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-13,7.36,3.45,11.27,90,2026-03-02 22:42:38
160302,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-14,7.36,3.45,11.27,90,2026-03-02 22:42:38
