ForecastID,ProductID,ProductName,Category,ModelName,ForecastDate,ForecastQty,LowerBound,UpperBound,HorizonDays,GeneratedAt
178001,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-01,7.2,3.51,10.9,30,2026-03-02 22:51:32
178002,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-02,7.2,3.51,10.9,30,2026-03-02 22:51:32
178003,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-03,7.2,3.51,10.9,30,2026-03-02 22:51:32
178004,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-04,7.2,3.51,10.9,30,2026-03-02 22:51:32
178005,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-05,7.2,3.51,10.9,30,2026-03-02 22:51:32
178006,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-06,7.2,3.51,10.9,30,2026-03-02 22:51:32
178007,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-07,7.2,3.51,10.9,30,2026-03-02 22:51:32
178008,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-08,7.36,3.45,11.27,30,2026-03-02 22:51:32
178009,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-09,7.36,3.45,11.27,30,2026-03-02 22:51:32
178010,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-10,7.36,3.45,11.27,30,2026-03-02 22:51:32
178011,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-11,7.36,3.45,11.27,30,2026-03-02 22:51:32
178012,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-12,7.36,3.45,11.27,30,2026-03-02 22:51:32
178013,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-13,7.36,3.45,11.27,30,2026-03-02 22:51:32
178014,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-14,7.36,3.45,11.27,30,2026-03-02 22:51:32
178015,1,Microcontroller Unit v01,Electronics,ARIMA,2024-01-15,7.37,3.31,11.44,30,2026-03-02 22:51:32
